Dates;Open;Close;High;Low
03/04/2012 11:27:00;23,03;23,03;23,03;23,02
03/04/2012 11:28:00;23,03;23,04;23,04;23,02
03/04/2012 11:29:00;23,02;23,02;23,04;23,02
03/04/2012 11:30:00;23,02;23,01;23,05;23,01
03/04/2012 11:31:00;23,01;23,01;23,03;23,01
03/04/2012 11:32:00;23,01;23,0;23,02;23,0
03/04/2012 11:33:00;23,01;23,0;23,01;23,0
03/04/2012 11:34:00;23,01;23,02;23,02;23,0
03/04/2012 11:35:00;23,0;23,0;23,02;22,99
03/04/2012 11:36:00;23,0;23,0;23,01;22,99
03/04/2012 11:37:00;23,0;23,03;23,03;23,0
03/04/2012 11:38:00;23,03;23,0;23,03;23,0
03/04/2012 11:39:00;23,0;23,0;23,0;22,99
03/04/2012 11:40:00;23,0;22,99;23,01;22,99
03/04/2012 11:41:00;23,0;23,01;23,01;23,0
03/04/2012 11:42:00;23,01;23,0;23,01;23,0
03/04/2012 11:43:00;23,01;23,0;23,01;23,0
03/04/2012 11:44:00;23,01;23,01;23,01;23,01
03/04/2012 11:45:00;23,02;23,01;23,03;23,0
03/04/2012 11:46:00;23,01;23,0;23,01;22,99
03/04/2012 11:47:00;22,99;23,0;23,0;22,98
03/04/2012 11:48:00;23,0;23,01;23,01;23,0
03/04/2012 11:49:00;23,01;23,02;23,02;23,0
03/04/2012 11:50:00;23,02;23,01;23,03;23,01
03/04/2012 11:51:00;23,02;23,02;23,03;23,0
03/04/2012 11:52:00;23,01;23,02;23,02;23,01
03/04/2012 11:53:00;23,02;23,02;23,04;23,01
03/04/2012 11:54:00;23,02;23,02;23,02;23,01
03/04/2012 11:55:00;23,02;23,01;23,02;23,01
03/04/2012 11:56:00;23,0;23,02;23,02;23,0
03/04/2012 11:57:00;23,01;23,0;23,02;23,0
03/04/2012 11:58:00;23,0;23,01;23,02;23,0
03/04/2012 11:59:00;23,01;22,98;23,02;22,98
03/04/2012 12:00:00;22,98;22,97;22,99;22,97
03/04/2012 12:01:00;22,98;22,97;22,98;22,96
03/04/2012 12:02:00;22,97;22,97;22,99;22,96
03/04/2012 12:03:00;22,96;22,98;22,98;22,96
03/04/2012 12:04:00;22,98;22,97;22,98;22,97
03/04/2012 12:05:00;22,97;22,98;22,98;22,96
03/04/2012 12:06:00;22,98;22,98;22,99;22,97
03/04/2012 12:07:00;22,97;22,96;22,98;22,96
03/04/2012 12:08:00;22,97;22,96;22,97;22,96
03/04/2012 12:09:00;22,96;22,94;22,96;22,93
03/04/2012 12:10:00;22,93;22,94;22,94;22,93
03/04/2012 12:11:00;22,93;22,92;22,94;22,92
03/04/2012 12:12:00;22,92;22,89;22,92;22,87
03/04/2012 12:13:00;22,88;22,9;22,92;22,88
03/04/2012 12:14:00;22,92;22,9;22,92;22,9
03/04/2012 12:15:00;22,9;22,9;22,91;22,89
03/04/2012 12:16:00;22,91;22,9;22,91;22,89
03/04/2012 12:17:00;22,9;22,91;22,91;22,89
03/04/2012 12:18:00;22,91;22,89;22,92;22,88
03/04/2012 12:19:00;22,88;22,9;22,9;22,88
03/04/2012 12:20:00;22,9;22,93;22,93;22,9
03/04/2012 12:21:00;22,93;22,92;22,93;22,9
03/04/2012 12:22:00;22,93;22,93;22,94;22,92
03/04/2012 12:23:00;22,92;22,89;22,93;22,89
03/04/2012 12:24:00;22,9;22,92;22,92;22,9
03/04/2012 12:25:00;22,92;22,92;22,94;22,92
03/04/2012 12:26:00;22,92;22,93;22,94;22,92
03/04/2012 12:27:00;22,93;22,93;22,93;22,92
03/04/2012 12:28:00;22,93;22,92;22,93;22,91
03/04/2012 12:29:00;22,91;22,91;22,92;22,9
03/04/2012 12:30:00;22,91;22,91;22,92;22,9
03/04/2012 12:31:00;22,91;22,91;22,93;22,91
03/04/2012 12:32:00;22,91;22,9;22,91;22,9
03/04/2012 12:33:00;22,91;22,92;22,92;22,89
03/04/2012 12:34:00;22,91;22,89;22,92;22,89
03/04/2012 12:35:00;22,9;22,92;22,92;22,89
03/04/2012 12:36:00;22,92;22,92;22,92;22,91
03/04/2012 12:37:00;22,92;22,9;22,92;22,9
03/04/2012 12:38:00;22,91;22,9;22,93;22,9
03/04/2012 12:39:00;22,91;22,9;22,92;22,9
03/04/2012 12:40:00;22,9;22,89;22,9;22,89
03/04/2012 12:41:00;22,89;22,89;22,9;22,89
03/04/2012 12:42:00;22,9;22,9;22,9;22,89
03/04/2012 12:43:00;22,89;22,9;22,9;22,89
03/04/2012 12:44:00;22,9;22,89;22,9;22,89
03/04/2012 12:45:00;22,89;22,9;22,9;22,89
03/04/2012 12:46:00;22,9;22,9;22,9;22,89
03/04/2012 12:47:00;22,89;22,91;22,92;22,89
03/04/2012 12:48:00;22,91;22,94;22,94;22,91
03/04/2012 12:49:00;22,94;22,94;22,95;22,93
03/04/2012 12:50:00;22,94;22,93;22,94;22,93
03/04/2012 12:51:00;22,93;22,93;22,94;22,93
03/04/2012 12:52:00;22,93;22,93;22,94;22,93
03/04/2012 12:53:00;22,93;22,92;22,94;22,92
03/04/2012 12:54:00;22,94;22,93;22,94;22,92
03/04/2012 12:55:00;22,92;22,94;22,94;22,92
03/04/2012 12:56:00;22,93;22,93;22,95;22,93
03/04/2012 12:57:00;22,93;22,92;22,93;22,92
03/04/2012 12:58:00;22,93;22,92;22,93;22,92
03/04/2012 12:59:00;22,92;22,91;22,92;22,9
03/04/2012 13:00:00;22,91;22,92;22,92;22,9
03/04/2012 13:01:00;22,92;22,92;22,92;22,91
03/04/2012 13:02:00;22,92;22,93;22,93;22,92
03/04/2012 13:03:00;22,92;22,92;22,93;22,92
03/04/2012 13:04:00;22,92;22,92;22,92;22,92
03/04/2012 13:05:00;22,92;22,91;22,92;22,91
03/04/2012 13:06:00;22,91;22,91;22,92;22,91
03/04/2012 13:07:00;22,9;22,91;22,92;22,9
03/04/2012 13:08:00;22,92;22,91;22,92;22,9
03/04/2012 13:09:00;22,9;22,89;22,9;22,89
03/04/2012 13:10:00;22,89;22,9;22,9;22,89
03/04/2012 13:11:00;22,89;22,88;22,89;22,88
03/04/2012 13:12:00;22,88;22,89;22,89;22,88
03/04/2012 13:13:00;22,88;22,9;22,9;22,88
03/04/2012 13:14:00;22,9;22,89;22,9;22,89
03/04/2012 13:15:00;22,89;22,88;22,89;22,87
03/04/2012 13:16:00;22,88;22,88;22,89;22,87
03/04/2012 13:17:00;22,88;22,89;22,89;22,88
03/04/2012 13:18:00;22,89;22,89;22,89;22,88
03/04/2012 13:19:00;22,89;22,89;22,9;22,89
03/04/2012 13:20:00;22,89;22,89;22,9;22,89
03/04/2012 13:21:00;22,89;22,88;22,89;22,87
03/04/2012 13:22:00;22,88;22,87;22,88;22,87
03/04/2012 13:23:00;22,87;22,84;22,87;22,84
03/04/2012 13:24:00;22,83;22,82;22,85;22,82
03/04/2012 13:25:00;22,82;22,83;22,84;22,82
03/04/2012 13:26:00;22,83;22,83;22,83;22,82
03/04/2012 13:27:00;22,82;22,82;22,83;22,81
03/04/2012 13:28:00;22,81;22,82;22,82;22,81
03/04/2012 13:29:00;22,82;22,8;22,82;22,8
03/04/2012 13:30:00;22,81;22,79;22,81;22,77
03/04/2012 13:31:00;22,79;22,77;22,8;22,77
03/04/2012 13:32:00;22,77;22,77;22,78;22,77
03/04/2012 13:33:00;22,77;22,76;22,77;22,75
03/04/2012 13:34:00;22,76;22,77;22,78;22,76
03/04/2012 13:35:00;22,77;22,76;22,77;22,76
03/04/2012 13:36:00;22,77;22,79;22,79;22,77
03/04/2012 13:37:00;22,79;22,79;22,8;22,79
03/04/2012 13:38:00;22,79;22,82;22,82;22,79
03/04/2012 13:39:00;22,82;22,8;22,82;22,8
03/04/2012 13:40:00;22,8;22,81;22,81;22,79
03/04/2012 13:41:00;22,81;22,81;22,82;22,8
03/04/2012 13:42:00;22,81;22,81;22,82;22,8
03/04/2012 13:43:00;22,81;22,8;22,81;22,8
03/04/2012 13:44:00;22,79;22,8;22,8;22,79
03/04/2012 13:45:00;22,8;22,81;22,81;22,8
03/04/2012 13:46:00;22,81;22,8;22,81;22,8
03/04/2012 13:47:00;22,8;22,82;22,82;22,8
03/04/2012 13:48:00;22,82;22,82;22,82;22,81
03/04/2012 13:49:00;22,83;22,82;22,83;22,82
03/04/2012 13:50:00;22,83;22,84;22,84;22,83
03/04/2012 13:51:00;22,85;22,85;22,85;22,85
03/04/2012 13:52:00;22,85;22,86;22,86;22,85
03/04/2012 13:53:00;22,85;22,85;22,86;22,84
03/04/2012 13:54:00;22,84;22,82;22,84;22,82
03/04/2012 13:55:00;22,82;22,83;22,84;22,82
03/04/2012 13:56:00;22,83;22,83;22,84;22,82
03/04/2012 13:57:00;22,83;22,82;22,83;22,82
03/04/2012 13:58:00;22,82;22,82;22,83;22,81
03/04/2012 13:59:00;22,82;22,82;22,83;22,82
03/04/2012 14:00:00;22,83;22,83;22,83;22,82
03/04/2012 14:01:00;22,82;22,83;22,83;22,82
03/04/2012 14:02:00;22,82;22,82;22,83;22,82
03/04/2012 14:03:00;22,82;22,82;22,83;22,82
03/04/2012 14:04:00;22,81;22,83;22,84;22,81
03/04/2012 14:05:00;22,82;22,84;22,84;22,82
